Zone,Préfecture/Province,Arrondissement/Commune,Famille des consistances,Consistance,Affectation,Superficie / étages,Valeur en DH/m²,CS-AC10,,,Immeubles construits,Construction à usage commercial,,*****,17000,Conservation_scrapee
CS-AC10,,,Immeubles construits,Construction à usage touristique,,*****,17000,,,,,,,,,CASA AIN CHOCK
CS-AC10,,,Immeubles construits,Villa,,*****,10000,,,,,,,,,CASA AIN CHOCK
CS-AC10,,,Immeubles construits,Construction équipements publics,,*****,800,,,,,,,,,CASA AIN CHOCK
CS-AC10,,,Immeubles construits,Construction socio-administratifs,,*****,800,,,,,,,,,CASA AIN CHOCK
CS-AC10,,,Immeubles construits,Appartement (fermé et sécurisé),,*****,17000,,,,,,,,,CASA AIN CHOCK
CS-AC10,,,Terrain nu,Terrain nu équipé,Activité commerciale,Inférieure à 300 m²,16000,,,,,,,,,CASA AIN CHOCK
CS-AC10,,,Terrain nu,Terrain nu équipé,Activité commerciale,Supérieure ou égale à 300 m²,15000,,,,,,,,,CASA AIN CHOCK
CS-AC10,,,Terrain nu,Terrain nu équipé,Activité touristique,Inférieure à 300 m²,16000,,,,,,,,,CASA AIN CHOCK
CS-AC10,,,Terrain nu,Terrain nu équipé,Activité touristique,Supérieure ou égale à 300 m²,15000,,,,,,,,,CASA AIN CHOCK
CS-AC10,,,Terrain nu,Terrain nu équipé,Espaces verts et voiries,*****,400,,,,,,,,,CASA AIN CHOCK
CS-AC10,,,Terrain nu,Terrain nu équipé,,Inférieur ou égal à 2 étages,14000,,,,,,,,,CASA AIN CHOCK
CS-AC10,,,Terrain nu,Terrain nu équipé,,Egal à 3 et 4 étages,15000,,,,,,,,,CASA AIN CHOCK
CS-AC10,,,Terrain nu,Terrain nu équipé,,Egal à 5 et Inférieur ou égal à 7 étages,16000,,,,,,,,,CASA AIN CHOCK
CS-AC10,,,Terrain nu,Terrain nu équipé,,Supérieur à 7 étages,17000,,,,,,,,,CASA AIN CHOCK
CS-AC10,,,Terrain nu,Terrain nu équipé,Villa,Supérieure ou égale à 600 m²,11000,,,,,,,,,CASA AIN CHOCK
CS-AC10,,,Terrain nu,Terrain nu équipé,Villa,Inférieure à 600 m²,12000,,,,,,,,,CASA AIN CHOCK
CS-AC10,,,Terrain nu,Terrain nu équipé,Equipements socio-administratifs,*****,400,,,,,,,,,CASA AIN CHOCK
CS-AC10,,,Terrain nu,Terrain nu équipé,Zone industrielle ou artisanale,Supérieure ou égale à 300 m²,4500,,,,,,,,,CASA AIN CHOCK
CS-AC10,,,Terrain nu,Terrain nu équipé,Immeuble Groupement d`habitation,Supérieure à 10000 m²,7500,,,,,,,,,CASA AIN CHOCK
CS-AC10,,,Terrain nu,Terrain nu équipé,Immeuble Groupement d`habitation,Supérieure ou égale à 2000 m² et inférieure à 10000 m²,7900,,,,,,,,,CASA AIN CHOCK
CS-AC10,,,Terrain nu,Terrain nu équipé,Immeuble Groupement d`habitation,Inférieure à 2000 m²,8400,,,,,,,,,CASA AIN CHOCK
CS-AC10,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Inférieure à 2000 m²,9000,,,,,,,,,CASA AIN CHOCK
CS-AC10,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Supérieure à 10000 m²,8000,,,,,,,,,CASA AIN CHOCK
CS-AC10,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Supérieure ou égale à 2000 m² et inférieure à 10000 m²,8500,,,,,,,,,CASA AIN CHOCK
CS-AC10,,,Terrain nu,Terrain nu équipé non immatriculé,,Inférieure à 1000 m²,2500,,,,,,,,,CASA AIN CHOCK
